U101923894000154023600713     400416        SANTO ANTONIO ALUMINIO LTDA                       
E20192389400015409661         ACO CEARENSE CHAPA PRETA 1/8 2X1,20               PC    +000000000
E20192389400015409662         ACO CEARENSE CHAPA XADREZ 14 6X1,20               M     +000000000
E20192389400015409663         3F FECH PERF ESTREITO ALAV 522E48E511MVCR         UNI   +000002100
E20192389400015409664         3F FECH PERF ESTRE TACO GOLFE 522E48E5130MVCR     UNI   +000002000
E20192389400015409665         3F FECH PERFIL ESTRE TACO GOLFE 522E48E5130MVGR   UNI   +000000100
E20192389400015409666         3F FECH PERFIL ESTREITO ALAV 522E48E5110MVGR      UNI   +000000400
E20192389400015409667         3F FECH PERFIL ESTREITO ALAV 522E90E5114MVGR      UNI   +000000200
E20192389400015409668         3F FECHO DE EMBUTIR C/TRAVA 10CM 401FCR           UNI   +000000400
E20192389400015409669         LINCOLN ELETRODO 3.25 ALUMINIO                    KG    +000000000
E20192389400015409672         ALICATE UNIVERSAL 8 8280                          PC    +000000000
E20192389400015409673         ARRUELA LISA POLIDA 3/4                           KG    +000016065
E20192389400015409676         VARETA SOLDA BRANCA 50 X 50                       KG    +000003749
E20192389400015409677         PORCA 3/4 SEXT. NC 10F CH 1.1/8                   UNI   +000027000
E20192389400015409678         BARRA ROSCA 3/4 1020 NC 10F                       UNI   +000000600
E20192389400015409679         ACO CEARENSE PERFIL ENR 5 X 2,65 50MM             PC    +000001400
E20192389400015409680         5- FIXOS + PECAS                                  PC    +000000400
E20192389400015409681         EUROMETAL BASCULANTE 60 X 80                      PC    +000000000
E20192389400015409682         EUROMETAL BASCULANTE 40 X 40                      PC    +000001200
E20192389400015409683         EUROMETAL BASCULANTE 40 X 60                      PC    +000000400
E20192389400015409684         EUROMETAL BASCULANTE 40 X 80                      PC    +000000000
E20192389400015409685         EUROMETAL BASCULANTE 60X 60                       PC    +000000300
E20192389400015409686         EUROMETAL JANELA DE VIDRO 0,50 X 0,50             PC    +000000000
E20192389400015409687         EUROMETAL JANELA DE VIDRO 0,60X 0,60              PC    +000003100
E20192389400015409688         EUROMETAL JANELA DE VIDRO 0,80 X 0,80             PC    +000000000
E20192389400015409689         EUROMETAL JANELA DE VIDRO 1,00 X 0,80             PC    +000000000
E20192389400015409690         EUROMETAL JANELA DE VIDRO 1,00 X 1,00             PC    +000000000
E20192389400015409691         EUROMETAL JANELA DE VIDRO 1,20 X 1,20             PC    +000000000
E20192389400015409692         EUROMETAL PORTA GIRO BASCULANTE DIREITA-ESQUERDO  PC    +000000600
E20192389400015409693         EUROMETAL PORTA GIRO POSTIGO DIREITA ESQUERDA     PC    +000000000
E20192389400015409694         TRILHO U ABAS IGUAIS 3/8                          M     +000048250
E20192389400015409695         GERDAU SAPATA 5/16 60X60                          PC    +000001000
E20192389400015409696         GERDAU SAPATA 3/8 80 X 80                         PC    +000000000
E20192389400015409697         AGROLAR COLUNA DE CENTRO MADELAR C/03 MTS         PC    +000000000
E20192389400015409698         CONPLEMENTO DE PORTA BRONZE                       1     +000000000
E20192389400015409699         ACO CEARENSE TUBO INDUSTRIAL 2.1/2 X 1.20         M     +000010800
E20192389400015409700         MASSA VIDRO                                       KG    +000024940
E20192389400015409706         GERDAU CANTONEIRA 2.1/2 X 5/16 6M                 PC    +000000017
E20192389400015409707         SUPORTE DE CORREMAO ALUMINIO PRETO/SUP 980        PC    +000007300
E20192389400015409708         ESCOVA DE VEDAÇAO 5X7 PRETA/CHELEGUEU             M     +000015860
E20192389400015409709         3F PUXADOR P/JANELA CENTRO 351/FCR                PC    +000004500
E20192389400015409710         GEPETEC ROLDANA ACO 3 V CX ABERTA                 PC    +000003500
E20192389400015409712         ACO CEARENSE PERFIL U 3 X 4,75MM                  M     +000009700
E20192389400015409713         GEPETEC ROLD NYLON 2V CX ABERTA BUZIO             PC    +000011200
E20192389400015409714         PARAFUSO FEN AA PA 4.8X16MM 10 X 5/8 BELENUS      PC    +000050000
E20192389400015409715         PARAFUSO FEN AA PA 4,8X19 10 X 3/4 BELENUS        PC    +000400000
E20192389400015409716         PARAFUSO FEN MD CH 4,2X20 8 X 3/4 BELENUS         PC    +000250000
E20192389400015409717         PARAFUSO FEN MD CH 4,2X65MM 8 X 2.1/2 BELENUS     PC    +000287500
E20192389400015409720         EKIT KIT JANELA 4PCS 1,80 X 1,20 8MM BRONZE,      CJ    +000000200
E20192389400015409721         EKIT KIT JANELAS 02 PCS 1,50 X 1,20 8MM BRONZE    CJ    +000000300
E20192389400015409722         GRAMPO P/MURO PRETO G-1                           KG    +000018154
E20192389400015409723         GRAMPO P/MURO GALVANIZADO GG                      KG    +000001114
E20192389400015409724         FITA DE ACO GDN                                   KG    +000007324
E20192389400015409725         ACO CEARENSE PERFIL ENR 4 X 2,25 40MM             PC    +000000284
E20192389400015409726         HDL PORTEIRO ELETRONICO F8 NTL                    PC    +000000100
E20192389400015409727         HDL FONTE ALIMENTACAO TRA 400 TRANSFORMA          PC    +000000200
E20192389400015409728         HDL FECHO ELETRONICO AJUST FEC-91LA               PC    +000000100
E20192389400015409729         HDL FECHADURA ELETRICA C-90 DUPLA CINZA           PC    +000000100
E20192389400015409730         HDL MOTOR NXT CENTRAL C/2 TRANSMISSORES           PC    +000000300
E20192389400015409731         ELETRODO OK 3.25MM INOX                           KG    +000000577
E20192389400015409732         GERDAU CANTONEIRA 3 X 3/16 6M                     PC    +000000267
E20192389400015409735         PARAFUSO FEN MD CH 4.2 X 50MM 8X2 BELENUS         PC    +000259000
E20192389400015409737         CONTRA FECH C /BATEDOR P AL 1520 NAT AL 1531      PC    +000001600
E20192389400015409739         BANDEIRANTES VIDRO TEMP VERDE 10MM                M2    +000049650
E20192389400015407975         ACO CEARENSE TUBO PATENTE GALV 2.1/2 X 1.55       M     +000005960
E20192389400015409740         FIXO VD TEMP VERDE 1.21 X 0.44                    PC    +000000000
E20192389400015409741         ESQUADRIAS P/ TELAS                               PC    +000000000
E20192389400015408332         BARRA ROSCA 3/16 1020 NC 24F CISER                UNI   +000001000
E20192389400015408161         AGROLAR FITA DE ACO                               KG    +000027839
E20192389400015408097         ABRAGOL DISCO DE ESMERIL A36P6V7 GROSSO/REBOLO R  PC    +000000800
E20192389400015409742         PRAT.C/ DE CANTO                                  PC    +000000000
E20192389400015409743         REBITOP REBITE AL 1/8X5/8 316 3X16 MM             UNI   +001258500
E2019238940001548278          REBITE REP AL 5/32X1/2 412 4X12MM                 UNI   +005777100
E20192389400015408456         AGROLAR PERFIL STANLEY PRETO 45X17X8X1,5          PC    +000001000
E20192389400015409745         STAM FECHADURA 401/07 GORG INOX                   UNI   +000000000
E20192389400015409748         TUPAN TAMPAO 1/2                                  PC    +000000200
E20192389400015409749         TUPAN TAMPAO 1.1/4                                PC    +000000200
E20192389400015409750         TUPAN TAMPAO 1.1/2                                PC    +000000200
E20192389400015409751         TUPY BUCHA RED 2 X 1.1/2                          PC    +000000000
E20192389400015409752         BOTAO DUPLO                                       PC    +000000400
E20192389400015409753         BRASILIA CADEADO 104                              PC    +000001800
E20192389400015408071         ELETRODO OK 2,50MM INOX                           KG    +000049960
E20192389400015409754         JOELHO DE ESGOTO/40/50/75/100/150 90G             UNI   +000001200
E20192389400015409755         TUBO DE ESGOTO 40/50/75/100/150                   M     +000000200
E20192389400015408140         TUPY BUCHA RED GALV 3/4 X 1/2                     UNI   +000000500
E20192389400015408143         TUPY CAP GALV 1                                   UNI   +000000600
E20192389400015408144         TUPY CAP GALV 1/2                                 UNI   +000000600
E20192389400015408146         TUPY CAP GALV 2                                   UNI   +000000300
E20192389400015408147         TUPY CAP GALV 3/4                                 UNI   +000000500
E20192389400015409756         BLOCO CERAMICA                                    PC    +000775000
E20192389400015409757         SARGENTO/                                         PC    +000000900
E20192389400015409758         ARGAMASSA NARDUK                                  SC    +000008000
E20192389400015408138         LONA PRETA                                        M     +000000000
E2019238940001548139          GERDAU ARAME GALV 8                               KG    +000030782
E2019238940001548141          PET AMAZONAS VERDE 0.98 X 1.80                    UNI   +000001100
E2019238940001548142          PET PONTILHADO CRISTAL 0.98 X 1.80                UNI   +000003200
E2019238940001548143          PET PONTILHADO FUME 0.98 X 1.80                   PC    +000003000
E2019238940001548144          ARRUELA VEDACAO CHUPETA 5/16                      UNI   +000140200
E2019238940001548145          DISCO DE CORTE 10 MAXI                            UNI   +000000000
E2019238940001548146          FITA CREPE 3M                                     UNI   +000002100
E2019238940001548148          GERDAU TRELICA ETG8L 6/7.2/4.2 6M                 PC    +000230800
E2019238940001548153          PUXADOR TUBULAR 400 POLIDO TUB 400                CJ-   +000004900
E2019238940001548154          PUXADOR TUBULAR 300 ESCOVADO TUB 300              CJ-   +000000300
E2019238940001548155          PUXADOR TUBULAR 400 ESCOVADO TUB 400              CJ-   +000007300
E2019238940001548156          PUXADOR TUBULAR 500 ESCOVADO TVB 500              CJ-   +000000000
E2019238940001548157          PUXADOR TUBULAR 500 POLIDO TVB 500                CJ-   +000000100
E2019238940001548158          PUXADOR TUBULAR 300 PRETO                         CJ-   +000004500
E2019238940001548159          PUXADOR TUBULAR 400 PRETO                         CJ-   +000009500
E2019238940001548160          PUXADOR TC 600 POLIDO                             CJ-   +000000200
E2019238940001548161          PUXADOR TC 600 PRETO                              CJ-   +000000400
E2019238940001548162          PUXADOR TC 600 ESCOVADO                           CJ-   +000001600
E2019238940001548163          PUXADOR QUADRADO 600 POLIDO                       CJ-   +000001000
E2019238940001548164          PUXADOR QUADRADO 600 PRETO                        CJ-   +000001700
E2019238940001548165          PUXADOR QUADRADO 800 POLIDO                       CJ-   +000003100
E2019238940001548166          PUXADOR QUADRADO 800 PRETO                        CJ-   +000000300
E2019238940001548167          PUXADOR CURVO 600 ESCOVADO                        CJ-   +000000100
E2019238940001548168          PUXADOR CURVO 600 PRETO                           CJ-   +000000200
E2019238940001548169          CBA PERF 3283 6060-T5 PRT                         M     +000002300
E2019238940001548170          CBA PERFIL E077 6063-T5 PRT                       M     +000007800
E2019238940001548171          BANDEIRANTES VIDRO TEMP FUME 8MM BOX              M2    +000049066
E2019238940001548172          AGROLAR BOBINA C/MOLA 7.00 MTS 50                 PC    +000000900
E2019238940001548173          CBA PERF 2598 6063 T5 PRT                         M     +000002200
E2019238940001548174          CBA T Q 1X1.00 6063 T5 PRT                        M     +000007200
E2019238940001548196          CBA PERFIL LIG  U 154                             M     +000091820
E2019238940001548176          PERFIL VIDRO BAGUETE 10MM FOSCO                   M     +000019900
E2019238940001548177          PERFIL VIDRO BAGUETE 10MM PRETO                   M     +000013100
E2019238940001548178          PERFIL VIDRO TRILHO SUPERIOR 10MM FOSCO           M     +000017950
E2019238940001548179          PERFIL VIDRO CAPA 10MM FOSCO                      M     +000031400
E2019238940001548180          PERFIL VIDRO UNIAO 10MM FOSCO                     M     +000019970
E2019238940001548181          PERFIL VIDRO CLICK P/TRILHO INF 10MMM PRETO       M     +000029700
E2019238940001548182          PERFIL VIDRO CLICK P/TRILHO SUP 10MM PRETO        M     +000030200
E2019238940001548183          PERFIL VIDRO TRILHO SUPERIOR 10MM PRETO           M     +000039380
E2019238940001548184          PERFIL VIDRO TRILHO INFERIOR 10MM PRETO           M     +000040020
E2019238940001548185          PERFIL VIDRO CAPA 10MM PRETO                      M     +000028330
E2019238940001548186          PERFIL VIDRO UNIAO 10MM PRETO                     M     +000030790
E2019238940001548187          PERFIL VIDRO CLICK P/TRILHO INF 10MM FOSCO        M     +000021000
E2019238940001548188          PERFIL VIDRO CLICK P/TRILHO SUP 10MM FOSCO        M     +000021700
E2019238940001548252          ACO CEARENSE PERFIL U 4 X 4.75MM                  M     +000003100
E2019238940001548190          LAMBRIL PRETO                                     PC    +000000000
E2019238940001548423          ELETRODO OK 3.25MM 96.20 ALUMINIO                 KG    +000000014
E2019238940001548215          PERFILADOS LAMBRIL 0.80X950X2000MM                PC    +000008800
E2019238940001548192          ACO CEARENSE METALON 25 X 25 1.20                 PC    +000000000
E2019238940001548193          STAM CILINDRO                                     UNI   +000000000
E2019238940001548194          FITA DE VEDACAO 5 X 6   SHELEGEU                  M     +000042100
E2019238940001548195          TRANQUETA RETA ZAMAK CROMADA FEC 512              PC    +000003100
